dataset,epoch,train_loss,val_loss,val_mIoU,val_veg_IoU,val_F1,val_Accuracy,lr
potsdam,1,0.4597663521766663,0.3207981109619141,0.7597582350921861,0.7897276049086173,0.882511509285169,0.8658896446228027,0.0009997532801828658
potsdam,2,0.30097813010215757,0.29231486320495603,0.7910702432951922,0.8238509992183461,0.9034191933128602,0.8865466117858887,0.0009990133642141358
potsdam,3,0.27586171627044676,0.29237471222877504,0.7906411813558936,0.8263534419695184,0.9049217122819212,0.8868685245513916,0.00099778098230154
potsdam,4,0.25918722748756406,0.28917001485824584,0.7976614223202152,0.8251650529134218,0.9042086923549748,0.8897523880004883,0.000996057350657239
potsdam,5,0.25527530908584595,0.2825042366981506,0.8003148203523822,0.8300195379497012,0.9071154932909952,0.8918032169342041,0.0009938441702975688
potsdam,6,0.24328791499137878,0.2793347895145416,0.7992744473302258,0.8326247423870322,0.9086691051682747,0.8918535232543945,0.0009911436253643444
potsdam,7,0.23727422058582306,0.27533186674118043,0.8030090551599809,0.8308664035237965,0.9076210060162343,0.8931615829467774,0.0009879583809693736
potsdam,8,0.2257000982761383,0.26873427629470825,0.8043337723185013,0.836340921566048,0.9108776172703367,0.894764757156372,0.0009842915805643154
potsdam,9,0.21891537308692932,0.271184903383255,0.8056679908658668,0.8317799177811996,0.9081657787674831,0.8945247173309326,0.0009801468428384714
potsdam,10,0.2133547395467758,0.2652175724506378,0.8058791917703368,0.8379434236104744,0.9118272225860032,0.8957447528839111,0.0009755282581475767
potsdam,11,0.20911269187927245,0.25877233743667605,0.8156812356401077,0.8407752405773183,0.9135012488690666,0.9005537986755371,0.0009704403844771127
potsdam,12,0.20334607362747192,0.2521076679229736,0.8178520098949453,0.8461883198674053,0.9166868956555626,0.9024619102478028,0.0009648882429441257
potsdam,13,0.1999250054359436,0.24827425181865692,0.8217226632790797,0.8485233358883355,0.9180553141143495,0.9045607566833496,0.0009588773128419905
potsdam,14,0.19555108845233918,0.24688096046447755,0.8261699476509123,0.849038459092608,0.918356732838605,0.9066129684448242,0.0009524135262330098
potsdam,15,0.19272677600383759,0.24055221676826477,0.829669796187495,0.8536062613603567,0.9210222032093238,0.9089125156402588,0.0009455032620941839
potsdam,16,0.18893718123435974,0.23466014266014099,0.8313533629232133,0.8575884040390943,0.923335225579978,0.9103397846221923,0.0009381533400219318
potsdam,17,0.18606023788452147,0.2320069283246994,0.8336416100540992,0.8595281125609522,0.9244583147250249,0.9116651535034179,0.0009303710135019719
potsdam,18,0.18364145755767822,0.2344081372022629,0.8343661136928828,0.8569552147389209,0.9229681016937231,0.9115331172943115,0.0009221639627510076
potsdam,19,0.18124444484710694,0.229205983877182,0.8355728178320181,0.8602937252272075,0.924900958983921,0.9126235961914062,0.000913540287137281
potsdam,20,0.1793476402759552,0.2280861407518387,0.8356784993015276,0.862367631936322,0.926098174332755,0.9130513668060303,0.0009045084971874739
potsdam,21,0.17561724483966829,0.22904448509216307,0.8381931531908222,0.8606118634281974,0.9250847856495021,0.9138104915618896,0.0008950775061878452
potsdam,22,0.17460754215717317,0.22644053399562836,0.8381758858029991,0.8611871217294582,0.9254170219372926,0.913898229598999,0.0008852566213878947
potsdam,23,0.17370516955852508,0.22296293675899506,0.840584347715206,0.8641878755310897,0.9271467611974363,0.9154478549957276,0.0008750555348152298
potsdam,24,0.1707120954990387,0.222170889377594,0.8424465269441523,0.866602433541385,0.9285345587996859,0.916664457321167,0.0008644843137107057
potsdam,25,0.17032427787780763,0.23182259500026703,0.833538309018038,0.86231385425862,0.9260671634770218,0.9121641159057617,0.0008535533905932737
potsdam,26,0.169909206032753,0.22244977653026582,0.8424637136029954,0.8667067814232514,0.9285944531282408,0.9166904926300049,0.0008422735529643444
potsdam,27,0.16868476271629335,0.21989814043045045,0.8441662977163835,0.8664922811324525,0.9284713254819652,0.9173768520355224,0.0008306559326618259
potsdam,28,0.16464323401451111,0.22095410227775575,0.8435078401238113,0.8656026457853205,0.9279603539808954,0.9169444561004638,0.0008187119948743449
potsdam,29,0.16458452939987184,0.218473219871521,0.8450345532097359,0.867981173036981,0.9293253974565592,0.9180020809173584,0.0008064535268264883
potsdam,30,0.16374702155590057,0.21886501014232634,0.8456864766950178,0.8685358022423422,0.9296432010561992,0.9183750629425049,0.0007938926261462367
potsdam,31,0.1622821033000946,0.21598032712936402,0.8473944676073315,0.8701656680018802,0.9305760263812151,0.9193817138671875,0.0007810416889260654
potsdam,32,0.16087312400341033,0.21918562352657317,0.844848458178354,0.8695177942312259,0.9302054218625769,0.9182002067565918,0.0007679133974894983
potsdam,33,0.159864541888237,0.21733793914318084,0.8464226268847161,0.8711220996935153,0.9311226668064074,0.9191496849060059,0.0007545207078751857
potsdam,34,0.16039922535419465,0.21955054998397827,0.8442658638180218,0.869706406789279,0.9303133407803499,0.9179958820343017,0.0007408768370508577
potsdam,35,0.15984255373477935,0.22212306559085845,0.8436037509822516,0.869541186107535,0.9302188072336155,0.9176934719085693,0.0007269952498697734
potsdam,36,0.15768804252147675,0.21596391797065734,0.8477756693877545,0.8713375407600354,0.9312457232126552,0.919749641418457,0.0007128896457825364
potsdam,37,0.15764711499214173,0.2161689281463623,0.8478950446059194,0.8702048712865891,0.9305984436752538,0.9196006298065186,0.0006985739453173903
potsdam,38,0.1557354211807251,0.21577131748199463,0.8473511554474304,0.8698337206656711,0.9303861739705983,0.9193058967590332,0.0006840622763423391
potsdam,39,0.1555226355791092,0.21474426984786987,0.8476788792644865,0.8702570104701023,0.9306282565425135,0.9195178985595703,0.0006693689601226458
potsdam,40,0.15390385687351227,0.21570787131786345,0.847758675420773,0.8716412577517801,0.9314191532610236,0.9197978019714356,0.0006545084971874737
potsdam,41,0.15479718148708344,0.21801519989967347,0.8455595714973243,0.8702591527809838,0.930629481467262,0.9186323642730713,0.0006394955530196147
potsdam,42,0.15324690341949462,0.21595153212547302,0.8473323078297387,0.8718042998000783,0.9315122311592008,0.9196518421173095,0.0006243449435824273
potsdam,43,0.15212056338787078,0.21363589763641358,0.8499275755955404,0.8728137717484075,0.9320881605153646,0.9209124565124511,0.0006090716206982714
potsdam,44,0.1512922614812851,0.21538288593292237,0.848783317395473,0.8716345775745027,0.9314153393170107,0.9202242851257324,0.0005936906572928625
potsdam,45,0.1512641727924347,0.2146770626306534,0.8491210185574558,0.8724901760436756,0.9319036085808814,0.9205180644989014,0.0005782172325201156
potsdam,46,0.1512475937604904,0.21476915776729583,0.849480755749453,0.8733106833573486,0.9323714332234531,0.9208168029785156,0.0005626666167821523
potsdam,47,0.14873798191547394,0.2148459941148758,0.849010490251322,0.8721565286699945,0.9317132572131523,0.9204120635986328,0.0005470541566592572
potsdam,48,0.14900702834129334,0.21463760435581208,0.849492445182804,0.8716362643570384,0.9314163023620093,0.9205237865447998,0.0005313952597646569
potsdam,49,0.1481669455766678,0.21351622939109802,0.8508271991217288,0.8736567476183947,0.932568624139827,0.9214381217956543,0.0005157053795390643
potsdam,50,0.14717792570590973,0.21475016474723815,0.8486398392741523,0.8711638167246156,0.9311464971031205,0.9200815200805664,0.0005000000000000002
potsdam,51,0.14682852625846862,0.21421657204627992,0.84959503956595,0.8729233634890201,0.9321506480253137,0.9207934379577637,0.00048429462046093607
potsdam,52,0.1463231235742569,0.21296100616455077,0.85086678759607,0.873104919603396,0.932254152413698,0.9213577270507812,0.0004686047402353435
potsdam,53,0.14452472627162932,0.21594965755939483,0.8480458048109774,0.8695523784029295,0.9302252116046592,0.9195553302764893,0.000452945843340743
potsdam,54,0.14544547498226165,0.21486916840076448,0.8496256555910175,0.871902536609796,0.9315683050346193,0.9206259727478028,0.00043733338321784806
potsdam,55,0.14411716759204865,0.21417612135410308,0.8514403797554572,0.8746891942869573,0.9331564901025073,0.9218786239624024,0.0004217827674798847
potsdam,56,0.14382025003433227,0.22214285731315614,0.8472625977910173,0.8731903994802076,0.9323028771901773,0.9198904037475586,0.00040630934270713783
potsdam,57,0.1434648424386978,0.21491224467754363,0.8502667329509727,0.8733060432009833,0.9323687887204323,0.9211418151855468,0.000390928379301729
potsdam,58,0.14317788928747177,0.21440880596637726,0.8502032623422451,0.8726178450783694,0.9319764279420826,0.9209936618804931,0.0003756550564175727
potsdam,59,0.14200017154216765,0.21546006500720977,0.8504537134034436,0.8733896215434814,0.9324164194140221,0.9212347030639648,0.00036050444698038553
potsdam,60,0.1419276177883148,0.21544937491416932,0.85042985661376,0.8732435904132575,0.9323331945533156,0.9211987495422364,0.00034549150281252655
potsdam,61,0.14196511209011078,0.214508119225502,0.85136090938767,0.8731261783580302,0.9322662706293569,0.921570110321045,0.0003306310398773544
potsdam,62,0.14069872796535493,0.21272339522838593,0.8519035911320696,0.8746318459548136,0.9331238534564998,0.922060489654541,0.00031593772365766127
potsdam,63,0.14024726748466493,0.21476702392101288,0.8512459196071089,0.8746994065987902,0.9331623016681171,0.921800184249878,0.0003014260546826097
potsdam,64,0.14100772738456727,0.2155071973800659,0.8516054191461735,0.8751794424390186,0.9334354063744272,0.9220365047454834,0.0002871103542174637
potsdam,65,0.1404414504766464,0.21359797418117524,0.8516286838604632,0.8736507275383243,0.932565194459867,0.9217731952667236,0.0002730047501302267
potsdam,66,0.14002660512924195,0.21375640332698823,0.8520590478222405,0.8744157158149942,0.933000836940592,0.9220871448516845,0.00025912316294914234
potsdam,67,0.139492204785347,0.2145954430103302,0.8515069561096389,0.8752029286575356,0.9334487646988654,0.9220004081726074,0.0002454792921248144
potsdam,68,0.13901841938495635,0.21414119601249695,0.8514425995997534,0.8737514790933785,0.932622590394054,0.9217123985290527,0.00023208660251050164
potsdam,69,0.13845667839050294,0.214246067404747,0.8518283592477756,0.874561492925556,0.933083813175594,0.9220166206359863,0.00021895831107393473
potsdam,70,0.13816475570201875,0.2142123281955719,0.8524167880586042,0.8758304757699762,0.9338055726069512,0.9224900245666504,0.00020610737385376356
potsdam,71,0.138390052318573,0.21337446570396423,0.8530116887593484,0.8758631828137112,0.9338241624849798,0.9227413177490235,0.00019354647317351177
potsdam,72,0.13806180357933046,0.21209313571453095,0.8527545503314748,0.8751993211904788,0.9334467128911443,0.922515869140625,0.0001812880051256552
potsdam,73,0.13794749677181245,0.21329299211502076,0.8528478009152534,0.8758087200371288,0.9337932068252605,0.922663688659668,0.00016934406733817422
potsdam,74,0.1373876929283142,0.2132069319486618,0.8530382978668061,0.8756847062487367,0.9337227129180539,0.9227202892303467,0.0001577264470356557
potsdam,75,0.13755660355091096,0.21480656266212464,0.8527573882326357,0.8758158829812344,0.9337972782161329,0.9226276397705078,0.00014644660940672634
potsdam,76,0.13685574233531952,0.21520279347896576,0.8524017491811977,0.8758003372703955,0.9337884420522411,0.9224782943725586,0.0001355156862892944
potsdam,77,0.13768792003393174,0.21400716304779052,0.8522335762273616,0.8743118619163701,0.9329417154970564,0.922142219543457,0.00012494446518477025
potsdam,78,0.13684305548667908,0.21554481983184814,0.852907539791665,0.8762884826040526,0.9340658334030536,0.9227759838104248,0.00011474337861210548
potsdam,79,0.13648603558540345,0.21485377848148346,0.8525571109806166,0.8746332573947733,0.9331246567238158,0.9223339557647705,0.00010492249381215483
potsdam,80,0.1368415504693985,0.21407079100608825,0.8529060196634911,0.8760951278953378,0.9339559757592556,0.922739839553833,9.549150281252637e-05
potsdam,81,0.13666034936904908,0.2135333389043808,0.8527092731287245,0.8753558227585717,0.9335357185400253,0.9225248336791992,8.645971286271918e-05
potsdam,82,0.1369597464799881,0.21454350352287294,0.8523067265058573,0.8747375338921497,0.9331839983766728,0.9222473621368408,7.78360372489926e-05
potsdam,83,0.13572731167078017,0.2158784329891205,0.8524454452617831,0.8759243581560416,0.9338589313025821,0.9225191116333008,6.962898649802815e-05
potsdam,84,0.13605939447879792,0.21391134560108185,0.8525287947261585,0.8746872233247772,0.9331553684710245,0.9223314762115479,6.184665997806824e-05
potsdam,85,0.13611768782138825,0.21368198692798615,0.8528345561062849,0.8757586129699257,0.9337647252844754,0.9226491451263428,5.449673790581613e-05
potsdam,86,0.1361419215798378,0.21350290775299072,0.8529805940487513,0.8756741348918554,0.933716703346601,0.9226944446563721,4.758647376699034e-05
potsdam,87,0.13522980213165284,0.21381894648075103,0.8529715802870232,0.875699249656049,0.9337309803974467,0.9226952075958252,4.112268715800956e-05
potsdam,88,0.13521288335323334,0.21423900723457337,0.8529781947260704,0.8758401100776435,0.9338110485774732,0.9227232933044434,3.511175705587434e-05
potsdam,89,0.1357402592897415,0.21449137330055237,0.8529143548643475,0.8757740685855452,0.9337735106295988,0.9226849555969239,2.9559615522887284e-05
potsdam,90,0.13512359857559203,0.21423547863960266,0.8527168541797263,0.8753089877724795,0.9335090840813223,0.9225196361541748,2.447174185242324e-05
potsdam,91,0.13519207239151002,0.2141963094472885,0.8526813630940767,0.8753324002906527,0.9335223986478208,0.9225090503692627,1.9853157161528526e-05
potsdam,92,0.1355699747800827,0.21422838866710664,0.8527709827485617,0.8756076842880838,0.9336789261667312,0.9225955963134765,1.570841943568452e-05
potsdam,93,0.1354589968919754,0.21422605514526366,0.852818991984659,0.8757264321177862,0.9337464324464934,0.922636890411377,1.204161903062634e-05
potsdam,94,0.13530836701393129,0.2141539514064789,0.8528582027562623,0.8757419372828962,0.9337552462589296,0.9226559162139892,8.85637463565564e-06
