Accuracy,Delta_Accuracy,Delta_F1,Delta_IoU,Delta_mIoU,F1,avg_boxes,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,head_path,mIoU,metric_type,model,n,perturbation,strength,task_type,veg_IoU
0.8672818581768043,0.0,0.0,,0.0,0.8987444568636689,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.746595570700388,dense segmentation,DINOv2 ViT-L/14 reg + head,67,clean,none,frozen-head segmentation,0.8161089062980615
0.8670566348057271,-0.0002252233710771,-0.0002393384367587,,-0.0002557436625441,0.8985051184269102,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7463398270378439,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,0.70,frozen-head segmentation,0.8157142928741696
0.8671704980412408,-0.0001113601355634,-0.0001406076849498,,-8.82605740381015e-05,0.898603849178719,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7465073101263499,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,0.85,frozen-head segmentation,0.8158770561424741
0.8670190883064738,-0.0002627698703304,-0.0002342524077649,,-0.0003753382318167,0.8985102044559039,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7462202324685712,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,1.15,frozen-head segmentation,0.8157226767698491
0.8667911949621164,-0.0004906632146878,-0.0004484223045468,,-0.0006820711919122,0.898296034559122,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7459134995084757,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,1.30,frozen-head segmentation,0.8153697025131824
0.8670495705014232,-0.000232287675381,-0.000253469429048,,-0.0002524635342131,0.8984909874346209,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7463431071661748,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,0.75,frozen-head segmentation,0.8156909995153505
0.8671575931703863,-0.0001242650064179,-0.0001378614154571,,-0.0001310882777124,0.8986065954482118,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7464644824226755,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,0.90,frozen-head segmentation,0.8158815839412981
0.8672177788180785,-6.407935872576598e-05,-3.5519902156333494e-05,,-0.0001286496735413,0.8987089369615126,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7464669210268466,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,1.10,frozen-head segmentation,0.8160503314009957
0.8668884264890719,-0.0003934316877323,-0.0002611100395564,,-0.000715713748232,0.8984833468241125,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7458798569521559,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,1.25,frozen-head segmentation,0.8156784050732321
0.8668961026622526,-0.0003857555145516,-0.0001184585932396,,-0.0009397195089501,0.8986259982704292,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7456558511914378,dense segmentation,DINOv2 ViT-L/14 reg + head,67,gaussian_blur,kernel_3,frozen-head segmentation,0.8159135741893753
0.8666779992199228,-0.0006038589568814,-0.0001961307868286,,-0.0014535534042801,0.8985483260768402,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7451420172961079,dense segmentation,DINOv2 ViT-L/14 reg + head,67,gaussian_blur,kernel_5,frozen-head segmentation,0.8157855195556454
0.8664369785069376,-0.0008448796698666,-0.0002047429562069,,-0.0021585080841284,0.8985397139074619,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7444370626162595,dense segmentation,DINOv2 ViT-L/14 reg + head,67,gaussian_blur,kernel_7,frozen-head segmentation,0.8157713221736366
0.8675994737482665,0.0003176155714622,0.0002315338601066,,0.0005425295998424,0.8989759907237755,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7471381003002304,dense segmentation,DINOv2 ViT-L/14 reg + head,67,shadow_illumination,mild,frozen-head segmentation,0.8164908150501928
0.8678415513256751,0.0005596931488708,0.0005113294158171,,0.0007780158322235,0.899255786279486,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7473735865326115,dense segmentation,DINOv2 ViT-L/14 reg + head,67,shadow_illumination,moderate,frozen-head segmentation,0.8169525445334868
0.8678578492875733,0.000575991110769,0.0005879566124079,,0.0006934700914869,0.8993324134760768,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7472890407918749,dense segmentation,DINOv2 ViT-L/14 reg + head,67,shadow_illumination,strong,frozen-head segmentation,0.817079038655355
0.8821755594282008,0.0,0.0,,0.0,0.9117939167239562,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7682803746770002,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,clean,none,frozen-head segmentation,0.8378871711312263
0.8704547028043377,-0.0117208566238631,-0.0104829800373601,,-0.0166894129026794,0.901310936686596,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7515909617743207,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,0.70,frozen-head segmentation,0.8203512411131507
0.8829045651563957,0.0007290057281948,0.0003073878044342,,0.0017437639270859,0.9121013045283904,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7700241386040861,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,0.85,frozen-head segmentation,0.8384064695775648
0.8822497467496502,7.418732144937046e-05,8.637104720132793e-05,,6.346343038976521e-05,0.9118802877711576,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7683438381073899,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,1.15,frozen-head segmentation,0.838033056035088
0.882692422439803,0.0005168630116021,0.0003642311740225,,0.0009356756572194,0.9121581478979788,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7692160503342196,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,1.30,frozen-head segmentation,0.8385025324549046
0.8831307710106693,0.0009552115824684,0.0006690997374233,,0.0017383800373973,0.9124630164613796,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7700187547143975,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,0.75,frozen-head segmentation,0.8390179187216361
0.8825583386777053,0.0003827792495044,0.0002868084179155,,0.0006574509125745,0.9120807251418716,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7689378255895747,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,0.90,frozen-head segmentation,0.8383716937645147
0.8823299123280084,0.0001543528998075,2.084270932101173e-05,,0.0004608952956137,0.9118147594332772,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7687412699726139,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,1.10,frozen-head segmentation,0.8379223733621008
0.8826697050635495,0.0004941456353486,0.000124895401498,,0.0013529202087861,0.9119188121254542,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7696332948857864,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,1.25,frozen-head segmentation,0.8380981330141305
0.8834892956178579,0.0013137361896571,0.0012364032161327,,0.0017282403100224,0.9130303199400888,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7700086149870227,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,gaussian_blur,kernel_3,frozen-head segmentation,0.8399777258642254
0.8825973396870628,0.0004217802588619,0.0007022125809601,,-9.063772194384256e-05,0.9124961293049164,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7681897369550563,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,gaussian_blur,kernel_5,frozen-head segmentation,0.839073914028177
0.8815798403611824,-0.0005957190670183,-7.35102666075127e-05,,-0.0018060549660695,0.9117204064573486,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7664743197109306,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,gaussian_blur,kernel_7,frozen-head segmentation,0.8377630269528865
0.8828009420366429,0.0006253826084421,0.000377229565845,,0.001263428283986,0.9121711462898012,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7695438029609862,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,shadow_illumination,mild,frozen-head segmentation,0.8385245005946558
0.8829960609549907,0.0008205015267899,0.0004670614129307,,0.0017149985942057,0.9122609781368868,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7699953732712059,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,shadow_illumination,moderate,frozen-head segmentation,0.8386763366954859
0.8828675568993412,0.0006919974711403,0.0003425373714686,,0.0015517543559102,0.9121364540954248,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7698321290329104,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,shadow_illumination,strong,frozen-head segmentation,0.8384658696665576
0.702475932107043,0.0,0.0,0.0,0.0,0.6866602187653551,1.0746268656716418,0.702475932107043,0.6866602187653551,0.5975407875995268,zijinshan,,0.5975407875995268,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,clean,none,prompt-based inference,
0.7040342644079408,0.0015583323008978578,-0.004902053778203963,-0.0041898027426854,-0.004189802742685433,0.6817581649871511,1.1194029850746268,0.7040342644079408,0.6817581649871511,0.5933509848568413,zijinshan,,0.5933509848568413,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,brightness,0.70,prompt-based inference,
0.7022458546197237,-0.00023007748731929123,-0.001295418854838415,-0.0003747471525389,-0.00037474715253893454,0.6853647999105167,1.1194029850746268,0.7022458546197237,0.6853647999105167,0.5971660404469878,zijinshan,,0.5971660404469878,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,brightness,0.85,prompt-based inference,
0.6896105524319321,-0.01286537967511081,-0.01545297283775926,-0.0150449689958259,-0.01504496899582597,0.6712072459275958,1.0746268656716418,0.6896105524319321,0.6712072459275958,0.5824958186037008,zijinshan,,0.5824958186037008,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,brightness,1.15,prompt-based inference,
0.6676444437966418,-0.03483148831040117,-0.03472556709836849,-0.0332048133186386,-0.03320481331863867,0.6519346516669866,1.0895522388059702,0.6676444437966418,0.6519346516669866,0.5643359742808881,zijinshan,,0.5643359742808881,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,brightness,1.30,prompt-based inference,
0.7002804884270056,-0.0021954436800373234,-0.0059580587551304465,-0.0036353246500931,-0.003635324650093197,0.6807021600102247,1.1194029850746268,0.7002804884270056,0.6807021600102247,0.5939054629494336,zijinshan,,0.5939054629494336,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,contrast,0.75,prompt-based inference,
0.6838710272490088,-0.01860490485803412,-0.018519454823390902,-0.0194192543790556,-0.019419254379055673,0.6681407639419642,1.0895522388059702,0.6838710272490088,0.6681407639419642,0.5781215332204711,zijinshan,,0.5781215332204711,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,contrast,0.90,prompt-based inference,
0.6866695916474755,-0.015806340459567414,-0.013387645851444363,-0.0140917558362456,-0.014091755836245667,0.6732725729139107,1.044776119402985,0.6866695916474755,0.6732725729139107,0.5834490317632811,zijinshan,,0.5834490317632811,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,contrast,1.10,prompt-based inference,
0.7092608551480877,0.0067849230410447214,-0.010361554772537085,-0.0074216598098117,-0.007421659809811798,0.676298663992818,1.1343283582089552,0.7092608551480877,0.676298663992818,0.590119127789715,zijinshan,,0.590119127789715,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,contrast,1.25,prompt-based inference,
0.7004752087948928,-0.0020007233121501766,-0.027831783234832375,-0.023472489912926,-0.023472489912926053,0.6588284355305227,1.1194029850746268,0.7004752087948928,0.6588284355305227,0.5740682976866007,zijinshan,,0.5740682976866007,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,gaussian_blur,kernel_3,prompt-based inference,
0.6903206554811392,-0.012155276625903766,-0.013853115515082282,-0.0133212282907376,-0.013321228290737674,0.6728071032502728,1.0895522388059702,0.6903206554811392,0.6728071032502728,0.5842195593087891,zijinshan,,0.5842195593087891,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,gaussian_blur,kernel_5,prompt-based inference,
0.6958014075435809,-0.00667452456346207,0.004764338127202561,0.0039120762827518,0.0039120762827518085,0.6914245568925577,1.0298507462686568,0.6958014075435809,0.6914245568925577,0.6014528638822786,zijinshan,,0.6014528638822786,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,gaussian_blur,kernel_7,prompt-based inference,
0.7070426940917969,0.00456676198475392,0.005070027672628652,0.0051280715345071,0.005128071534507117,0.6917302464379838,1.1492537313432836,0.7070426940917969,0.6917302464379838,0.6026688591340339,zijinshan,,0.6026688591340339,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,shadow_illumination,mild,prompt-based inference,
0.7057401742508163,0.0032642421437732994,-0.006171756193816824,-0.0031613165685285,-0.0031613165685285827,0.6804884625715383,1.164179104477612,0.7057401742508163,0.6804884625715383,0.5943794710309982,zijinshan,,0.5943794710309982,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,shadow_illumination,moderate,prompt-based inference,
0.7035482605891441,0.001072328482101148,-0.009214724417610176,-0.0054847469171565,-0.005484746917156502,0.6774454943477449,1.0746268656716418,0.7035482605891441,0.6774454943477449,0.5920560406823703,zijinshan,,0.5920560406823703,box-mask,Qwen/Qwen2.5-VL-3B-Instruct,67,shadow_illumination,strong,prompt-based inference,
